SubID,Include,Exclusion_reason,Counting,Task,Trial,response,scorenotes,accuracy
BABSYN409,1,NA,yes,next,target86,7,NA,0
BABSYN409,1,NA,yes,skip,by10s,"10, 25, 60, 18, 19",NA,0
BABSYN409,1,NA,yes,skip,by2s,"2, 1, 5, 4, 2, 1",NA,0
BABSYN409,1,NA,yes,skip,by5s,"5, 10, 8, 9, 10",NA,0
BABSYN410,1,NA,yes,Backward,13to9,"13, 14",NA,0
BABSYN410,1,NA,yes,Backward,18to14,nr,NA,0
BABSYN410,1,NA,yes,Backward,26to22,"26, 25, 24, 23, 22",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Backward,7to3,nr,NA,0
BABSYN410,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,35to39,"35, 36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,Forward,6to12,"7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN410,1,NA,yes,next,target23,24,NA,1
BABSYN410,1,NA,yes,next,target29,30,NA,1
BABSYN410,1,NA,yes,next,target37,38,NA,1
BABSYN410,1,NA,yes,next,target40,41,NA,1
BABSYN410,1,NA,yes,next,target59,60,NA,1
BABSYN410,1,NA,yes,next,target62,63,NA,1
BABSYN410,1,NA,yes,next,target70,80,NA,0
BABSYN410,1,NA,yes,next,target86,87,NA,1
BABSYN410,1,NA,yes,skip,by10s,"10, 20, 23, 25",NA,0
BABSYN410,1,NA,yes,skip,by2s,"2, 4, 6, I mean 7",NA,0
BABSYN410,1,NA,yes,skip,by5s,"5, 10, 11",NA,0
BABSYN411,1,NA,yes,Backward,13to9,"13, 12, 10, 11",NA,0
BABSYN411,1,NA,yes,Backward,18to14,20,NA,0
BABSYN411,1,NA,yes,Backward,26to22,"26, 25, 24, 26",NA,0
BABSYN411,1,NA,yes,Backward,5to1,"3, 2, 1",NA,0
BABSYN411,1,NA,yes,Backward,7to3,"7, 6, 9,",NA,0
BABSYN411,1,NA,yes,Backward,8to4,"3, 4, 5",NA,0
BABSYN411,1,NA,yes,Forward,18to21,"18, 11teen, 13, 14, 15",NA,0
BABSYN411,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN411,1,NA,yes,Forward,35to39,"35, 36, 37, 38, 39",Counted all #'s in correct order,1
BABSYN411,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN411,1,NA,yes,Forward,5to7,"5, 6, 7, 8",Counted all #'s in correct order,1
BABSYN411,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN411,1,NA,yes,next,target23,23,NA,0
BABSYN411,1,NA,yes,next,target29,24,NA,0
BABSYN411,1,NA,yes,next,target37,70,NA,0
BABSYN411,1,NA,yes,next,target40,44,NA,0
BABSYN411,1,NA,yes,next,target59,40,NA,0
BABSYN411,1,NA,yes,next,target62,40,NA,0
BABSYN411,1,NA,yes,next,target70,30,NA,0
BABSYN411,1,NA,yes,next,target86,90,NA,0
BABSYN411,1,NA,yes,skip,by10s,"10, 20, 21, 22, 23",NA,0
BABSYN411,1,NA,yes,skip,by2s,"2, 4, 3, 10, 8",NA,0
BABSYN411,1,NA,yes,skip,by5s,"5, 10, 11, 12",NA,0
BABSYN412,0,stopped early,no,Backward,13to9,"13, 12, 10, 11, 10, 9",NA,NA
BABSYN412,0,stopped early,no,Backward,18to14,"16, 15, 14",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Backward,26to22,"25, 24, 23, 22",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Backward,7to3,"6, 5, 4, 3",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Backward,8to4,"7, 6, 5, 4",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,21to24,"21, 22, 23, 24, 25",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,35to39,"36, 37, 38, 39",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,5to7,"6, 7, 8",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,Forward,6to12,"7, 8, 9, 10, 11, 12",Counted all #'s in correct order,NA
BABSYN412,0,stopped early,no,next,target23,24,NA,NA
BABSYN412,0,stopped early,no,next,target29,30,NA,NA
BABSYN412,0,stopped early,no,next,target37,38,NA,NA
BABSYN412,0,stopped early,no,next,target40,41,NA,NA
BABSYN412,0,stopped early,no,next,target59,60,NA,NA
BABSYN412,0,stopped early,no,next,target62,63,NA,NA
BABSYN412,0,stopped early,no,next,target70,71,NA,NA
BABSYN412,0,stopped early,no,next,target86,87,NA,NA
BABSYN412,0,stopped early,no,skip,by10s,"10, 20, 30, 40, 50",Counted all #'s in correct order?,NA
BABSYN412,0,stopped early,no,skip,by2s,"2, 4, 8, 6, 8, 12, 10, 12",NA,NA
BABSYN412,0,stopped early,no,skip,by5s,"5, 10, 15, 20, 25",Counted all #'s in correct order?,NA
BABSYN413,1,NA,yes,Backward,13to9,"8, 9, 10, 11",NA,0
BABSYN413,1,NA,yes,Backward,18to14,"18, 17, 17, 18, 19",NA,0
BABSYN413,1,NA,yes,Backward,26to22,"26, 25, 21, 20-0",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Backward,7to3,"7, 8, 9, 10",NA,0
BABSYN413,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Forward,21to24,"21, 22, 24, 25",NA,0
BABSYN413,1,NA,yes,Forward,35to39,"35, 38, 39,100",NA,0
BABSYN413,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN413,1,NA,yes,next,target23,6,NA,0
BABSYN413,1,NA,yes,next,target29,25,NA,0
BABSYN413,1,NA,yes,next,target37,28,NA,0
BABSYN413,1,NA,yes,next,target40,41,NA,1
BABSYN413,1,NA,yes,next,target59,31,NA,0
BABSYN413,1,NA,yes,next,target62,100,NA,0
BABSYN413,1,NA,yes,next,target70,"90, 103",NA,0
BABSYN413,1,NA,yes,next,target86,85,NA,0
BABSYN413,1,NA,yes,skip,by10s,"10, 8, 9, 10",NA,0
BABSYN413,1,NA,yes,skip,by2s,"2, 4, 5, 6, 7",NA,0
BABSYN413,1,NA,yes,skip,by5s,"5, 4, 3, 2, 1",NA,0
BABSYN414,1,NA,yes,Backward,13to9,"11, 10, 9",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Backward,18to14,"16, 15, 14",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Backward,26to22,"24, 23, 22",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Backward,5to1,"4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Backward,7to3,"5, 4, 3",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Backward,8to4,"7, 6, 5, 4,",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Forward,21to24,"21, 22, 23, 24",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Forward,35to39,na,NA,0
BABSYN414,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Forward,5to7,"5, 6, 7",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,Forward,6to12,"6, 7, 8, 9, 10, 11, 12",Counted all #'s in correct order,1
BABSYN414,1,NA,yes,next,target23,24,NA,1
BABSYN414,1,NA,yes,next,target29,30,NA,1
BABSYN414,1,NA,yes,next,target37,38,NA,1
BABSYN414,1,NA,yes,next,target40,41,NA,1
BABSYN414,1,NA,yes,next,target59,60,NA,1
BABSYN414,1,NA,yes,next,target62,63,NA,1
BABSYN414,1,NA,yes,next,target70,71,NA,1
BABSYN414,1,NA,yes,next,target86,na,NA,0
BABSYN414,1,NA,yes,skip,by10s,"20, 30, 40, 50",Counted all #'s in correct order?,1
BABSYN414,1,NA,yes,skip,by2s,"6, 8, 10",Counted all #'s in correct order?,1
BABSYN414,1,NA,yes,skip,by5s,"15, 20, 25",Counted all #'s in correct order?,1
BABSYN415,1,NA,yes,Backward,13to9,"1, 2, 3, 4, 5, 6",NA,0
BABSYN415,1,NA,yes,Backward,18to14,"1, 2, 3, 4, 5, 6",NA,0
BABSYN415,1,NA,yes,Backward,26to22,"26, 25, 30, 31, 32",NA,0
BABSYN415,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 7, 6, 5, 4, 3, 2 ,1",Started counting down from higher #,0
BABSYN415,1,NA,yes,Backward,7to3,"1, 2, 3, 4",NA,0
BABSYN415,1,NA,yes,Backward,8to4,"8, 7, 1, 2, 3, 4",NA,0
BABSYN415,1,NA,yes,Forward,18to21,"1, 2, 3, 4, 5",Started counting from smaller #,0
BABSYN415,1,NA,yes,Forward,21to24,"1, 2, 3, 4, 5",Started counting from smaller #,0
BABSYN415,1,NA,yes,Forward,35to39,"1, 2, 3, 4",Started counting from smaller #,0
